Suburb,Rooms,Type,Price,Method,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Postcode_Agrupado,Airbnb_Price
Abbotsford,2,h,1480000.0,S,3067,1,1,202.0,,,Yarra,-37.7996,144.9984,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1035000.0,S,3067,1,0,156.0,79.0,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,1465000.0,SP,3067,2,0,134.0,150.0,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,850000.0,PI,3067,2,1,94.0,,,Yarra,-37.7969,144.9969,Northern Metropolitan,3099.0,130.62402
Abbotsford,4,h,1600000.0,VB,3067,1,2,120.0,142.0,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,941000.0,S,3067,1,0,181.0,,,Yarra,-37.8041,144.9953,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,1876000.0,S,3067,2,0,245.0,210.0,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1636000.0,S,3067,1,2,256.0,107.0,1890,Yarra,-37.806,144.9954,Northern Metropolitan,3099.0,130.62402
Abbotsford,1,u,300000.0,S,3067,1,1,0.0,,,Yarra,-37.8008,144.9973,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1097000.0,S,3067,1,2,220.0,75.0,1900,Yarra,-37.801,144.9989,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,u,700000.0,VB,3067,2,1,0.0,,,Yarra,-37.811,145.0067,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,1350000.0,VB,3067,2,2,214.0,190.0,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,u,750000.0,S,3067,2,1,0.0,94.0,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1172500.0,S,3067,1,1,195.0,,,Yarra,-37.8084,144.9973,Northern Metropolitan,3099.0,130.62402
Abbotsford,1,u,441000.0,SP,3067,1,1,0.0,,,Yarra,-37.8016,144.9988,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1310000.0,S,3067,1,2,238.0,97.0,1890,Yarra,-37.809,144.9976,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,1200000.0,S,3067,2,1,113.0,110.0,1880,Yarra,-37.8056,144.993,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,1176500.0,S,3067,1,1,138.0,105.0,1890,Yarra,-37.8021,144.9965,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,955000.0,S,3067,1,0,183.0,,,Yarra,-37.8022,144.9975,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,890000.0,S,3067,1,1,150.0,73.0,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,3099.0,130.62402
Abbotsford,4,h,1330000.0,PI,3067,2,2,780.0,135.0,1900,Yarra,-37.8073,144.9952,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,t,900000.0,S,3067,2,2,0.0,,2010,Yarra,-37.8093,144.9959,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,u,500000.0,S,3067,1,1,0.0,60.0,1970,Yarra,-37.8015,144.9972,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1100000.0,PI,3067,2,1,124.0,135.0,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1315000.0,S,3067,1,0,147.0,85.0,1900,Yarra,-37.808,144.994,Northern Metropolitan,3099.0,130.62402
Abbotsford,1,u,426000.0,SP,3067,1,1,0.0,,,Yarra,-37.8016,144.9988,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,1447500.0,PI,3067,3,1,166.0,174.0,2012,Yarra,-37.8017,145.0001,Northern Metropolitan,3099.0,130.62402
Abbotsford,1,u,457000.0,S,3067,1,1,0.0,50.0,,Yarra,-37.8078,144.9965,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1135000.0,S,3067,2,2,98.0,128.0,1920,Yarra,-37.8005,144.9952,Northern Metropolitan,3099.0,130.62402
Abbotsford,4,h,1542000.0,S,3067,3,1,0.0,,,Yarra,-37.7994,144.9965,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,1290000.0,S,3067,2,2,147.0,18.0,,Yarra,-37.805,144.9943,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,1290000.0,S,3067,1,1,168.0,124.0,1950,Yarra,-37.8007,144.9958,Northern Metropolitan,3099.0,130.62402
Abbotsford,1,u,470000.0,S,3067,1,1,0.0,50.0,2013,Yarra,-37.8055,144.9961,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1180000.0,S,3067,1,0,162.0,91.0,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,3099.0,130.62402
Abbotsford,3,h,1195000.0,SP,3067,2,1,120.0,128.0,1998,Yarra,-37.8022,144.9954,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1012500.0,S,3067,1,0,182.0,82.0,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,3099.0,130.62402
Abbotsford,2,h,1030000.0,S,3067,1,1,172.0,81.0,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,3099.0,130.62402
Airport West,3,t,840000.0,PI,3042,2,1,303.0,225.0,2016,Moonee Valley,-37.718,144.878,Western Metropolitan,3099.0,81.57143
Airport West,3,h,730000.0,VB,3042,2,1,0.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3099.0,81.57143
Airport West,3,h,770000.0,SP,3042,2,1,0.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3099.0,81.57143
Airport West,2,h,603000.0,S,3042,1,1,272.0,84.0,1950,Moonee Valley,-37.7294,144.888,Western Metropolitan,3099.0,81.57143
Airport West,3,t,700000.0,S,3042,2,2,239.0,134.0,2009,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3099.0,81.57143
Airport West,3,h,600000.0,S,3042,1,1,290.0,116.0,1980,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3099.0,81.57143
